"","ProvinceCode","HHID","quarter","indiv.no","relationship","sex","age","nationality","residence.state","student","literate","edu.code","marrital.state","curr.job.year","curr.job.month","job.year","job.month","second.job.code","second.job.status","prev.job.code","prev.job.status","leaving.reason","not.ready.working","week.status","preference.type","preference.sec","weight","activity.state","ProvinceName","Region","job.field","second.job.position","second.job.field","prev.job.position","prev.job.field","Year","ID"
"1",30,"9730109707",3,1,"Head","Female",29,"Iran","In-Iran",FALSE,TRUE,"Pre","Bachelor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not retired",NA,NA,138.38595,"Inactive","Alborz","Urban",NA,NA,NA,NA,NA,1397,"139797301097071"
"2",30,"9730109708",2,1,"Head","Male",30,"Iran","In-Iran",FALSE,TRUE,"Middle","Married",3,2,11,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,158.029475,"Employed","Alborz","Urban","Legal, Social, Cultural and Related",NA,NA,NA,NA,1397,"139797301097081"
"3",30,"9730109708",2,2,"Spouse","Female",30,"Iran","In-Iran",FALSE,TRUE,"Middle","Married",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Homemaker",NA,NA,158.029475,"Inactive","Alborz","Urban",NA,NA,NA,NA,NA,1397,"139797301097082"
"4",30,"9730109708",2,3,"Child","Female",8,"Iran","In-Iran",TRUE,TRUE,"Primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158.029475,NA,"Alborz","Urban",NA,NA,NA,NA,NA,1397,"139797301097083"
"5",30,"9730109708",2,4,"Child","Male",0,"Iran","In-Iran",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158.029475,NA,"Alborz","Urban",NA,NA,NA,NA,NA,1397,"139797301097084"
"6",30,"9730109708",3,1,"Head","Male",31,"Iran","In-Iran",FALSE,TRUE,"Pre","Divorced",4,9,11,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,146.7519,"Employed","Alborz","Urban","Food Processing, Woodworking, Garment and Other Craft and Related Trades",NA,NA,NA,NA,1397,"139797301097081"
"7",30,"9730109709",2,1,"Head","Male",31,"Iran","In-Iran",FALSE,TRUE,"Middle","Married",6,2,12,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,158.029475,"Employed","Alborz","Urban","Metal, Machinery and Related Trades",NA,NA,NA,NA,1397,"139797301097091"
"8",30,"9730109709",2,2,"Spouse","Female",26,"Iran","In-Iran",FALSE,TRUE,"Pre","Married",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Homemaker",NA,NA,158.029475,"Inactive","Alborz","Urban",NA,NA,NA,NA,NA,1397,"139797301097092"
"9",30,"9730109709",2,3,"Child","Female",3,"Iran","In-Iran",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158.029475,NA,"Alborz","Urban",NA,NA,NA,NA,NA,1397,"139797301097093"
"10",30,"9730109709",2,4,"Child","Male",0,"Iran","In-Iran",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158.029475,NA,"Alborz","Urban",NA,NA,NA,NA,NA,1397,"139797301097094"
"11",30,"9730109709",3,1,"Head","Male",32,"Iran","In-Iran",FALSE,TRUE,"Middle","Married",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not retired",NA,NA,168.031175,"Inactive","Alborz","Urban",NA,NA,NA,NA,NA,1397,"139797301097091"
"12",30,"9730109709",3,2,"Spouse","Female",27,"Iran","In-Iran",FALSE,TRUE,"Middle","Married",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Homemaker",NA,NA,168.031175,"Inactive","Alborz","Urban",NA,NA,NA,NA,NA,1397,"139797301097092"
"13",30,"9730109709",3,3,"Child","Female",4,"Iran","In-Iran",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168.031175,NA,"Alborz","Urban",NA,NA,NA,NA,NA,1397,"139797301097093"
"14",30,"9730109709",3,4,"Child","Male",1,"Iran","In-Iran",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168.031175,NA,"Alborz","Urban",NA,NA,NA,NA,NA,1397,"139797301097094"
"15",30,"9730109710",1,1,"Head","Male",34,"Iran","In-Iran",FALSE,TRUE,"Middle","Married",12,1,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.94735,"Employed","Alborz","Urban","Building and Related Trade (excluding electricians)",NA,NA,NA,NA,1397,"139797301097101"
"16",30,"9730109710",1,2,"Spouse","Female",29,"Iran","In-Iran",FALSE,TRUE,"Middle","Married",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Homemaker",NA,NA,164.94735,"Inactive","Alborz","Urban",NA,NA,NA,NA,NA,1397,"139797301097102"
"17",30,"9730109710",1,3,"Child","Female",9,"Iran","In-Iran",TRUE,TRUE,"Primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.94735,NA,"Alborz","Urban",NA,NA,NA,NA,NA,1397,"139797301097103"
"18",30,"9730109710",1,4,"Child","Female",4,"Iran","In-Iran",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.94735,NA,"Alborz","Urban",NA,NA,NA,NA,NA,1397,"139797301097104"
"19",30,"9730109710",2,1,"Head","Male",41,"Iran","In-Iran",FALSE,TRUE,"Middle","Married",5,5,21,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,159.2239,"Employed","Alborz","Urban","Numerical and Material Recording",NA,NA,NA,NA,1397,"139797301097101"
"20",30,"9730109710",2,2,"Spouse","Female",42,"Iran","In-Iran",FALSE,TRUE,"Bachelors","Married",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Homemaker",NA,NA,159.2239,"Inactive","Alborz","Urban",NA,NA,NA,NA,NA,1397,"139797301097102"
"21",30,"9730109710",2,3,"Child","Male",17,"Iran","In-Iran",TRUE,TRUE,"High","Married",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"In education",NA,NA,159.2239,"Inactive","Alborz","Urban",NA,NA,NA,NA,NA,1397,"139797301097103"
"22",30,"9730109710",2,4,"Child","Male",15,"Iran","In-Iran",TRUE,TRUE,"High","Bachelor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"In education",NA,NA,159.2239,"Inactive","Alborz","Urban",NA,NA,NA,NA,NA,1397,"139797301097104"
"23",30,"9730109710",2,5,"Child","Female",5,"Iran","In-Iran",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159.2239,NA,"Alborz","Urban",NA,NA,NA,NA,NA,1397,"139797301097105"
"24",30,"9730109711",1,1,"Head","Male",29,"Iran","In-Iran",FALSE,TRUE,"Pre","Bachelor",3,9,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,142.619525,"Employed","Alborz","Urban","Drivers and Mobile Plant",NA,NA,NA,NA,1397,"139797301097111"
"25",30,"9730109712",1,1,"Head","Female",36,"Iran","In-Iran",FALSE,TRUE,"Pre","Divorced",4,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.627575,"Employed","Alborz","Urban","Sales",NA,NA,NA,NA,1397,"139797301097121"
"26",30,"9730109712",2,1,"Head","Female",37,"Iran","In-Iran",TRUE,TRUE,"Middle","Married",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not retired",NA,NA,132.868775,"Inactive","Alborz","Urban",NA,NA,NA,NA,NA,1397,"139797301097121"
"27",30,"9730109713",4,1,"Head","Male",77,"Iran","In-Iran",FALSE,FALSE,NA,"Widowed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Retired",NA,NA,116.5876,"Inactive","Alborz","Urban",NA,NA,NA,NA,NA,1397,"139797301097131"
"28",30,"9730109715",3,1,"Head","Male",57,"Iran","In-Iran",FALSE,FALSE,NA,"Married",12,11,37,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.047075,"Employed","Alborz","Urban","Others and Garbag",NA,NA,NA,NA,1397,"139797301097151"
"29",30,"9730109715",3,2,"Spouse","Female",52,"Iran","In-Iran",FALSE,FALSE,NA,"Married",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Homemaker",NA,NA,145.047075,"Inactive","Alborz","Urban",NA,NA,NA,NA,NA,1397,"139797301097152"
"30",30,"9730109715",3,3,"Child","Male",24,"Iran","In-Iran",FALSE,TRUE,"Bachelors","Bachelor",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Education completion","Others",NA,NA,145.047075,"Inactive","Alborz","Urban",NA,NA,NA,NA,NA,1397,"139797301097153"
"31",30,"9730109715",4,1,"Head","Male",57,"Iran","In-Iran",FALSE,FALSE,NA,"Widowed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Retired",NA,NA,138.69555,"Inactive","Alborz","Urban",NA,NA,NA,NA,NA,1397,"139797301097151"
"32",30,"9730109716",1,1,"Head","Male",39,"Iran","In-Iran",FALSE,TRUE,"Middle","Married",12,1,20,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.558,"Employed","Alborz","Urban","Building and Related Trade (excluding electricians)",NA,NA,NA,NA,1397,"139797301097161"
